Mass,Intensity,Charge,mz
8560.546735032069,138505252.74,6.0,1427.5976433654032
8515.540545032069,6543345.38,6.0,1420.0966116987365
8485.52228503207,3833477.57,6.0,1415.0935683654034
8544.527295032069,3815199.21,6.0,1424.9277366987367
4463.3536550320705,614257.81,3.0,1488.4564350320702
6526.42566503207,709150.84,5.0,1306.09139303207
4560.40493503207,564679.2,3.0,1520.8068616987366
4560.40414503207,581069.25,4.0,1140.85690503207
4463.35237503207,221719.85,4.0,1116.59396253207
2097.17564503207,205924.93,2.0,1049.0917350320701
8131.32325503207,144990.96,5.0,1627.07091103207
3983.1434850320697,206671.85,2.0,1992.07565503207
7862.141275032071,132379.06,5.0,1573.23451503207
8453.49678503207,811587.41,6.0,1409.7559850320702
6464.38416503207,252348.36,4.0,1616.85191003207
4693.495715032071,176997.93,3.0,1565.17045503207
5066.7285450320705,431592.17,3.0,1689.5813983654034
6599.45289503207,308128.59,4.0,1650.61909253207
8469.496545032069,598932.2,6.0,1412.4226116987365
8400.50441503207,363978.73,6.0,1400.9239233654034
6527.43363503207,340687.02,4.0,1632.61427753207
5259.72889503207,119530.72,4.0,1315.68809253207
1918.09477503207,106502.69,2.0,959.5513000320699
6826.577725032071,141822.95,4.0,1707.4003000320702
4536.39189503207,90000.92,3.0,1512.80251503207
6020.206185032071,198239.85,4.0,1505.8074150320701
3451.82311503207,122604.88,3.0,1151.2795883654035
4630.481745032071,99539.24,4.0,1158.3763050320701
5016.64579503207,103390.68,4.0,1254.91731753207
1247.70729503207,32954.67,1.0,1247.70729503207
8412.48680503207,348168.55,6.0,1402.9209883654034
6713.49311503207,140388.03,4.0,1679.12914753207
8244.40522503207,165044.03,5.0,1649.68730503207
6954.63717503207,116761.32,4.0,1739.41516253207
3711.9729250320697,73721.89,3.0,1237.9961916987368
8068.29537503207,133231.67,5.0,1614.46533503207
3571.89898503207,76968.41,2.0,1786.4534050320701
1972.09242503207,53086.12,2.0,986.5501250320699
1092.6267650320701,53902.1,1.0,1092.6267650320701
5563.01650503207,110873.0,4.0,1391.50999503207
6436.39363503207,141345.4,4.0,1609.85427753207
4308.26945503207,33200.76,2.0,2154.63864003207
7239.792015032071,141577.8,5.0,1448.76466303207
5131.6722750320705,105994.09,4.0,1283.67393753207
6234.334745032071,144038.71,4.0,1559.3395550320702
3380.78644503207,44803.51,3.0,1127.6006983654033
8284.429515032069,60477.79,5.0,1657.6921630320699
1264.7337450320701,55320.18,1.0,1264.7337450320701
8428.501435032069,320687.6,6.0,1405.5900933654034
7840.123705032071,76783.55,5.0,1568.8310010320702
3544.9110750320697,104331.3,2.0,1772.95945003207
5137.766275032071,155059.98,3.0,1713.260641698737
4069.20450503207,342808.59,3.0,1357.07338503207
3466.8347150320697,129810.81,3.0,1156.28345503207
3323.76576503207,40890.12,3.0,1108.5938050320701
7797.118555032071,114044.35,5.0,1560.2299710320701
3903.0807550320696,72811.85,2.0,1952.04429003207
4165.2474850320705,159332.95,3.0,1389.0877116987367
3840.06677503207,91247.74,3.0,1280.6941416987368
3743.0346550320696,28989.34,2.0,1872.02124003207
3598.8903350320697,83224.52,3.0,1200.30199503207
2540.34946503207,42361.88,2.0,1270.67864503207
4409.339175032071,88058.7,3.0,1470.4516083654034
5472.91285503207,90772.09,4.0,1368.98408253207
4081.1979250320696,44993.03,2.0,2041.10287503207
4919.6602850320705,325756.17,3.0,1640.5586450320702
1220.7203350320701,94200.18,1.0,1220.7203350320701
